Event	ID	Name			Wwise Object Path	Notes
	57082998	SFX_Traps_Mechanisms_Spikes_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanisms\SFX_Traps_Mechanisms_Spikes_E	
	276062753	SFX_Traps_Mechanisms_Guillotine_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanisms\SFX_Traps_Mechanisms_Guillotine_E	
	423994534	Player_Footsteps_E			\Global_Game_Jam\Player\Player_Footsteps\Player_Footsteps_E	
	924253443	SFX_Traps_Mechanisms_Flames_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanisms\SFX_Traps_Mechanisms_Flames_E	
	991582462	SFX_FeedBack_Collectibles_Shimmer			\Global_Game_Jam\SFX\SFX_Feedbacks\SFX_FeedBack_Collectibles_Shimmer	
	1953162899	SFX_Traps_Impacts_Spikes_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impacts_Spikes_E	
	2320248713	SFX_Traps_Impacts_Liquids_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impacts_Liquids_E	
	2381502256	AMB_PLAY			\Global_Game_Jam\Ambiance\AMB_PLAY	
	2606762442	SFX_Traps_Impacts_Flames_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impacts_Flames_E	
	2997044537	SFX_Torches			\Global_Game_Jam\SFX\SFX_Torches\SFX_Torches	
	2999265302	SFX_Traps_Impacts_Projectiles_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impacts_Projectiles_E	
	3766497685	SFX_Traps_Mechanisms_Projectiles_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanisms\SFX_Traps_Mechanisms_Projectiles_E	
	3779648076	SFX_Traps_Impacts_Guillotine_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impacts_Guillotine_E	
	3871191030	SFX_Traps_Mechanisms_Liquids_E			\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanisms\SFX_Traps_Mechanisms_Liquids_E	
	4279255233	SFX_Feedbacks_Collectibles_OpenChest			\Global_Game_Jam\SFX\SFX_Feedbacks\SFX_Feedbacks_Collectibles_OpenChest	

Switch Group	ID	Name			Wwise Object Path	Notes
	2500103914	Floortype_SW			\Global_Game_Jam\Floortype_SW	
	3463215277	Accomplishment_InPercent			\Global_Game_Jam\Accomplishment_InPercent	

Switch	ID	Name	Switch Group			Notes
	1128660171	Floortype_Wood	Floortype_SW			
	1329506165	Floortype_Concrete	Floortype_SW			
	2949268711	Floortype_Dirt	Floortype_SW			
	3095200985	Floortype_Water	Floortype_SW			
	3622077093	Floortype_Metal	Floortype_SW			
	3183414770	Zer0_PerCent	Accomplishment_InPercent			
	3305510938	Hundered_Percent	Accomplishment_InPercent			

Game Parameter	ID	Name			Wwise Object Path	Notes
	907394056	Accomplishment			\Global_Game_Jam\Accomplishment	
	1062779386	Player_Speed			\Global_Game_Jam\Player_Speed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9784138	Player_Footstep_Dirt_03	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\Footsteps\Dirt\Player_Footstep_Dirt_03_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\Player\Player_Footsteps\Player_Footsteps_SW\Player_Footsteps_Dirt_RND\Player_Footstep_Dirt_03		47580
	20718203	SFX_Traps_Impact_Liquids_01	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\SFX\Traps\Impacts\SFX_Traps_Impact_Liquids_01_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impact_Liquids_01		1518324
	53036984	Player_Footstep_Dirt_01	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\Footsteps\Dirt\Player_Footstep_Dirt_01_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\Player\Player_Footsteps\Player_Footsteps_SW\Player_Footsteps_Dirt_RND\Player_Footstep_Dirt_01		45816
	53901280	SFX_Traps_Impact_Guillotine_01	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\SFX\Traps\Impacts\SFX_Traps_Impact_Guillotine_01_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Impact\SFX_Traps_Impact_Guillotine_01		670784
	88719381	SFX_Traps_Mechanisms_Flames_03	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\SFX\Traps\Mechanisms\SFX_Traps_Mechanisms_Flames_03_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanism\SFX_Traps_Mechanisms_Flames_RND\SFX_Traps_Mechanisms_Flames_03		423172
	156915466	Player_Footstep_Water_03	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\Footsteps\Water\Player_Footstep_Water_03_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\Player\Player_Footsteps\Player_Footsteps_SW\Player_Footsteps_Water_RND\Player_Footstep_Water_03		137876
	180464962	SFX_Traps_Mechanisms_Guillotine_01	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\SFX\Traps\Mechanisms\SFX_Traps_Mechanisms_Guillotine_01_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\SFX\SFX_Traps\SFX_Traps_Mechanism\SFX_Traps_Mechanisms_Guillotine_RND\SFX_Traps_Mechanisms_Guillotine_01		405348
	200658471	Player_Footstep_Metal_03	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\Footsteps\Metal\Player_Footstep_Metal_03_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\Player\Player_Footsteps\Player_Footsteps_SW\Player_Footsteps_Metal_RND\Player_Footstep_Metal_03		49676
	203134829	AMB_Small_Rock_RND_03	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\AMB\RND\AMB_Small_Rock_RND_03_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\Ambiance\AMB_Dongeon\AMB_Dungeon_Generic_RND_Lp\AMB_Dungeon_Generic_RND_SW\AMB_Small_Rock_RND\AMB_Small_Rock_RND_03		136420
	224295914	Player_Footstep_Water_02	C:\Development\GGJ2015\GGJ2015Wwise\.cache\Windows\SFX\Footsteps\Water\Player_Footstep_Water_02_DDC98EF4.wem		\Actor-Mixer Hierarchy\Global_Game_Jam\Player\Player_Footsteps\Player_Footsteps_SW\Player_Footsteps_Water_RND\Player_Footstep_Water_02		135120
